"Name","smiles","Total.Molweight","Molweight","Monoisotopic.Mass","cLogP","cLogS","H.Acceptors","H.Donors","Total.Surface.Area","Relative.PSA","Polar.Surface.Area","Druglikeness","Mutagenic","Tumorigenic","Reproductive.Effective","Irritant","Shape.Index","Molecular.Flexibility","Molecular.Complexity","Fragments","Non.H.Atoms","Non.C.H.Atoms","Metal.Atoms","Electronegative.Atoms","Stereo.Centers","Rotatable.Bonds","Rings.Closures","Small.Rings","Aromatic.Rings","Aromatic.Atoms","sp3.Atoms","Symmetric.atoms","Amides","Amines","Alkyl.Amines","Aromatic.Amines","Aromatic.Nitrogens","Basic.Nitrogens","Acidic.Oxygens","DataSet"
"1-benzofuran-6-ol","OC=1C=CC=2C=COC2C1",134.134,134.134,134.03678,1.7655,-2.479,2,1,103.9,0.26189,33.37,-2.1864,"none","none","none","none",0.6,0,0.74753,1,10,2,0,2,0,0,2,2,2,9,1,0,0,0,0,0,0,0,0,"NewGeroprotectors"
"6-(2-hydroxypropan-2-yl)-8a-methyl-4-methylidene-decahydronaphthalene-1,6-diol","OC1CCC(=C)C2CC(O)(CCC12C)C(O)(C)C",254.368,254.368,254.188195,1.963,-2.627,3,3,190.11,0.20672,60.69,-3.0108,"none","none","none","none",0.44444,0.43126,0.80395,1,18,3,0,3,4,1,2,2,0,0,16,1,0,0,0,0,0,0,0,"NewGeroprotectors"
"2-aminocyclopent-1-ene-1-carbonitrile","N#CC1=C(N)CCC1",108.144,108.144,108.068748,0.2228,-1.931,2,1,94.43,0.30531,49.81,-10.206,"none","none","none","none",0.625,0,0.73611,1,8,2,0,2,0,0,1,1,0,0,3,0,0,0,0,0,0,1,0,"NewGeroprotectors"
"2-aminohexa-4,5-dienoic acid","O=C(O)C(N)CC=C=C",127.142,127.142,127.063329,-2.2678,-0.885,3,2,109.44,0.37838,63.32,-12.397,"none","none","none","none",0.77778,0.69829,0.57565,1,9,3,0,3,1,3,0,0,0,0,4,0,0,1,1,0,0,1,1,"NewGeroprotectors"
"6-chloropyridine-3-carboxamide","O=C(N)C1=CN=C(Cl)C=C1",156.572,156.572,156.00904,0.4494,-1.409,3,1,113.71,0.34544,55.98,-0.57329,"none","none","none","none",0.7,0.3819,0.67346,1,10,4,0,4,0,1,1,1,1,6,0,0,1,0,0,0,1,0,0,"NewGeroprotectors"
"2-amino-3-methylidenehexanoic acid","O=C(O)C(N)C(=C)CCC",143.185,143.185,143.094629,-1.207,-1.279,3,2,121.15,0.34181,63.32,-10.686,"none","none","none","none",0.7,0.77919,0.7083,1,10,3,0,3,1,4,0,0,0,0,6,0,0,1,1,0,0,1,1,"NewGeroprotectors"
"O-Acetylaniline","O=C(C=1C=CC=CC1N)C",135.165,135.165,135.068414,0.8535,-2.376,2,1,111.79,0.25324,43.09,-1.6316,"none","none","none","none",0.6,0.3819,0.65162,1,10,2,0,2,0,1,1,1,1,6,1,0,0,1,0,1,0,0,0,"NewGeroprotectors"
"Penitricin D","O=C1C(=C)C1O",84.0738,84.0738,84.02113,-0.2914,-0.656,2,1,59.35,0.44044,37.3,-4.3931,"none","none","none","none",0.66667,0,0.8283,1,6,2,0,2,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,"NewGeroprotectors"
"Cleroindicin E","OC1CCC2(O)CCOC2C1",158.196,158.196,158.094295,-0.1447,-1.306,3,2,113.41,0.3192,49.69,-0.25602,"none","none","none","none",0.54545,0.22756,0.73847,1,11,3,0,3,3,0,2,2,0,0,11,0,0,0,0,0,0,0,0,"NewGeroprotectors"
"1-methyl-3-(prop-1-en-1-yl)trisulfane","S(SC=CC)SC",152.306,152.306,151.97881,1.4602,-2.871,0,0,116.99,0.4485,75.9,-2.9688,"none","none","none","none",1,0.67006,0.3662,1,7,3,0,3,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,"NewGeroprotectors"
