Name,SMILES,Activation Status
C171,CCCC(CCC)C(=O)O,1
C172,COC1=C(C=CC(=C1)C[C@@H](CO[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)[C@@H](CC3=CC(=C(C=C3)O)OC)CO[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,1
C173,C12=C(NC(=O)N1)NC(=O)NC2=O,1
C174,C1CCC2=C(CC1)C(=O)OC3=C2C=CC(=C3)OS(=O)(=O)N,1
C175,C1=CC(=C(C=C1OC2=C(C=C(C=C2I)C[C@@H](C(=O)O)N)I)I)O,1
C176,CN1C=NC2=C1C(=O)N(C(=O)N2)C,1
C177,C1=C(NC(=O)NC1=O)C(=O)[O-],1
C178,C1=CC(=C(C=C1/C=C/C(=O)O[C@@H](C(=O)O)[C@@H](OC(=O)/C=C/C2=CC(=C(C=C2)O)O)C(=O)O)O)O,1
C179,CC(C)C1=C(C(=C2C(=C1)CC[C@@H]3[C@@]2(CCCC3(C)C)C(=O)O)O)O,1
C180,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,1
C181,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1
C182,C1[C@H]2[C@H](CO[C@@H]2C3=CC4=C(C=C3)OCO4)[C@H](O1)C5=CC6=C(C=C5)OCO6,1
C183,C[C@@]12CCC[C@@]([C@H]1CC[C@]34[C@H]2CC[C@](C3)(C(=C)C4)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)(C)C(=O)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O,1
C184,CCCCCCCCCCCCCC1/C(=C/CCCCC(=O)N)/C(=O)O1,1
C185,C(CS(=O)O)N,1
C186,CCCCCCCC(=O)C1=CC(=C(C=C1)O)C(=O)O,1
C187,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)CS(=O)(=O)O,1
C188,CCCCC(=O)O[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=C3C=CC(=C4)O)C,1
C189,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC,1
C190,CC(C)(C)C1=CC(=C(C=C1O)C(C)(C)C)O,1
C191,CC(C)C1=C(C(=C2C(=C1)[C@@H]3C[C@@H]4[C@@]2(CCCC4(C)C)C(=O)O3)O)O,1
C192,C1=CC=C2C(=C1)C=NN=C2NN,1
C193,CC1NC2=CC(=C(C=C2C(=O)N1C3=CC=CC=C3C)S(=O)(=O)N)Cl,1
C194,COC1=CC(=C2C(=C1)OC(=CC2=O)C3=CC=CC=C3)O,1
C195,C1(C(=O)NC(=O)N1)NC(=O)N,1
C196,CC(=O)O[C@@H]1[C@H](CN[C@@H]1CC2=CC=C(C=C2)OC)O,1
C197,CN(C1CCCCC1)C(=O)N2C=C(N=C2)C3=CN=CC=C3,1
C198,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=CC(=C4C(=O)C[C@H](OC4=C3)C5=CC=C(C=C5)O)O)CO)O)O)O)O)O,1
C199,C[C@H]1C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C\C=C(\C(=O)NC2=CC(=O)C(=C(C1)C2=O)NCC=C)/C)OC)OC(=O)N)\C)C)O)OC,1
C200,C([C@@H](C(=O)O)N)O,1
C201,C[C@@H]1C[C@@H]2[C@H](O2)/C=C\C=C\C(=O)CC3=C(C(=CC(=C3Cl)O)O)C(=O)O1,1
C202,C1=CC(=CC=C1/C=C\2/C(=O)C3=C(O2)C=C(C=C3)O)O,1
C203,C1=NC(=NC(=O)N1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)N,1
C204,C[C@]12CC[C@H]3C(=CC(=O)[C@H](O3)C(C)(C)O)[C@@]1(CC[C@@H]4[C@@]2(C5=C(C4)C6=CC=CC=C6N5)C)O,1
C205,C1CC1C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=CC=CC=C54)F,1
C206,C[C@H]1/C=C/C=C(\C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)[C@](O4)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)/C=N/N5CCN(CC5)C)/C,1
C207,C1=CC=C(C=C1)CCCCOC2=C3C=CC(=O)OC3=CC4=C2C=CO4,1
C208,C1=CC(=C(C=C1C[C@H](C(=O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O,1
C209,Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O,0
C210,CCCCCC1C(=O)CCC1CC(=O)O,0
C211,Cc1cc(=O)n(-c2ccccc2)n1C,0
C212,O=C(C=CC=Cc1ccc2c(c1)OCO2)N1CCCCC1,0
C213,O=c1ccc2cc(OC3OC(CO)C(O)C(O)C3O)c(O)cc2o1,0
C214,Nc1ccc(C(=O)O)cc1,0
C215,O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1,0
C216,Nc1ccc(C(=O)O)c(O)c1,0
C217,CS(=O)(=O)OCCCCOS(C)(=O)=O,0
C218,CCCc1cc(C(N)=S)ccn1,0
C219,O=c1cc[nH]c(=S)[nH]1,0
C220,CC(COc1ccc(C=Cc2ccccc2)cc1)[N+](C)(C)C,0
C221,CCCCCCCCCC(=O)NC(CN1CCOCC1)C(O)c1ccccc1,0
C222,CC[N+](CC)(CC)CC,0
C223,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,0
C224,Cc1cc(=[NH2+])c2ccccc2n1CCCCCCCCCCn1c(C)cc(=[NH2+])c2ccccc21,0
C225,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,0
C226,C[N+]1(C)CCN(c2ccccc2)CC1,0
C227,Cc1c2ccncc2c(C)c2c1[nH]c1ccccc12,0
C228,Cc1nccc2c1[nH]c1ccccc12,0
C229,Nc1ccc(-c2nc3ccc(-c4nc5ccc(N)cc5[nH]4)cc3[nH]2)cc1,0
C230,CN1CCc2ccccc2Cc2[nH]c3ccccc3c2CC1,0
C231,CC(N)Cc1cnc[nH]1,0
C232,Cc1cn[nH]c1,0
C233,CCCN1CCCC2Cc3[nH]ncc3CC21,0
C234,CC1(C)CCC=[N+]1[O-],0
C235,C[N+](C)(C)CC=O,0
C236,O=C1OC(=CBr)CCC1c1cccc2ccccc12,0
C237,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1C=CBr,0
C238,CCN(CC)c1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)C(Br)(Br)P(=O)(O)O)C(O)C1O,0
C239,CC(C)CC1C(=O)N2CCCC2C2(O)OC(NC(=O)C3C=C4c5cccc6[nH]c(Br)c(c56)CC4N(C)C3)(C(C)C)C(=O)N12,0
C240,O=[N+]([O-])c1cccc2c(Br)[nH]nc12,0
C241,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1Br,0
C242,CN(C)c1nc2c(Br)c(Br)c(Br)c(Br)c2[nH]1,0
C243,Brc1c(Br)c(Br)c2n[nH]nc2c1Br,0
C244,CC(N)CN1CCc2ccc(Br)cc21,0
C245,O=c1onc2n1-c1cc(Br)ccc1OC2,0
C246,O=Nc1c(-c2c(O)[nH]c3cc(Br)ccc23)[nH]c2ccccc12,0
C247,Brc1ccc(C2CN3CCSC3=N2)cc1,0
C248,CN(C)CC=C(c1ccc(Br)cc1)c1cccnc1,0
C249,O=S(=O)(NCCNCC=Cc1ccc(Br)cc1)c1cccc2cnccc12,0
C250,CC[N+](C)(C)Cc1ccccc1Br,0
C251,CCN(CCCl)Cc1ccccc1Br,0
C252,Nc1nc2c(nc(Br)n2C2OC3COP(=O)(O)OC3C2O)c(=O)[nH]1,0
C253,Nc1ncnc2c1nc(Br)n2C1OC2COP(=O)(O)OC2C1O,0
C254,C=CCc1ccccc1OCC(O)CNC1(C)CCCC(C(C)(C)NC(=O)CBr)C1,0
C255,C[N+](C)(C)CCOC(=O)CBr,0
C256,CC(=O)NBr,0
C257,O=P(O)(O)C(Cl)(Cl)P(=O)(O)O,0
C258,NC(C(=O)NC1C(=O)N2C(C(=O)O)=C(Cl)CSC12)c1ccccc1,0
C259,CC(C)(Oc1ccc(C2CC2(Cl)Cl)cc1)C(=O)O,0
C260,CCCN(CCC)C(=O)Cc1c(-c2ccc(Cl)cc2)nc2c(Cl)cc(Cl)cn12,0
C261,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(Cl)C(O)CC2(C)C1(O)C(=O)CO,0
C262,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,0
C263,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,0
C264,CC(N)c1cccc(Cl)c1Cl,0
C265,CCCN(CC1CC1)c1nc(C)nc(Nc2c(Cl)cc(Cl)cc2Cl)c1Cl,0
C266,Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl,0
C267,CC1(C2CCCC2)Cc2cc(OCC(=O)O)c(Cl)c(Cl)c2C1=O,0
C268,CCCCC1(C2CCCC2)Cc2cc(OCC(=O)O)c(Cl)c(Cl)c2C1=O,0
C269,O=C(O)C(=Cc1c(C(=O)O)[nH]c2cc(Cl)cc(Cl)c12)c1ccccc1,0
C270,CN1CCc2c(cc(O)c(O)c2Cl)C(c2cccc(Cl)c2)C1,0
C271,O=C(O)c1cc(=O)c2c(Cl)cc(Cl)cc2[nH]1,0
C272,CN1CCc2cccc(Cl)c2CC1,0
C273,CC1C(=O)NC2=Nc3cccc(Cl)c3CN21,0
C274,CNC(CC(C)C)C(=O)NC1C(=O)NC(CC(N)=O)C(=O)NC2C(=O)NC3C(=O)NC(C(=O)NC(C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)C(O)c3ccc(c(Cl)c3)Oc3cc2cc(c3OC2OC(CO)C(O)C(O)C2OC2CC(C)(N)C(O)C(C)O2)Oc2ccc(cc2Cl)C1O,0
C275,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,0
C276,C[N+](C)(C)CC#CCOC(=O)Nc1cccc(Cl)c1,0
C277,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,0
C278,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,0
C279,CCN(CC)CCOC(=O)c1cc(Cl)c(N)cc1OC,0
C280,COc1cc(N)c(Cl)cc1C(=O)OCCN1CCCCC1,0
C281,CCCCN1CCC(COC(=O)c2cc(Cl)c(N)c3c2OCCO3)CC1,0
C282,CN1C2CCC1CC(OC(=O)c1cc(Cl)cc(Cl)c1)C2,0
C283,CN(CCCl)Cc1cc(Cl)c(NC2=NCCN2)c(Cl)c1,0
C284,CCc1cc(Cl)c(OC)c(C(=O)NCC2CCN(CC)C2)c1O,0
C285,CC(Cc1ccc2c(c1)OC(C(=O)O)(C(=O)O)O2)NCC(O)c1cccc(Cl)c1,0
C286,CC(Cc1ccc(OCC(=O)O)cc1)NCC(O)c1cccc(Cl)c1,0
C287,Cn1c(=O)c2c(nc(C=Cc3cccc(Cl)c3)n2C)n(C)c1=O,0
C288,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,0
C289,CNC1CC(c2ccc(Cl)c(Cl)c2)c2ccccc21,0
C290,CNC1CCC(c2ccc(Cl)c(Cl)c2)c2ccccc21,0
C291,CCCCCN(CCCCC)C(=O)C(CCC(=O)O)NC(=O)c1ccc(Cl)c(Cl)c1,0
C292,NC(=NCc1ccc(Cl)c(Cl)c1)NC(=O)c1nc(Cl)c(N)nc1N,0
C293,CN(C(=O)Cc1ccc(Cl)c(Cl)c1)C(CN1CCCC1)c1cccc(OCC(=O)O)c1,0
C294,CN(C(=O)Cc1ccc(Cl)c(Cl)c1)C1CCC2(CCCO2)CC1N1CCCC1,0
C295,COC(=O)N1CCN(C(=O)Cc2ccc(Cl)c(Cl)c2)C(CN2CCCC2)C1,0
C296,O=C(Cc1ccc(Cl)c(Cl)c1)OCCN1CCCC1,0
C297,CCN1CCCC1CNC(=O)c1c(O)c(Cl)cc(Cl)c1OC,0
C298,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4C)O3)cc2)CC1,0
C299,Cn1cc(C2=C(c3ccc(Cl)cc3Cl)C(=O)NC2=O)c2ccccc21,0
C300,Clc1ccc(C(c2ccc(Cl)cc2)n2cc[n+](CC(OCc3ccc(Cl)cc3Cl)c3ccc(Cl)cc3Cl)c2)cc1,0
C301,C#CCN(C)CCCOc1ccc(Cl)cc1Cl,0
C302,Clc1cnc(Oc2ccc(Oc3ncc(Cl)cc3Cl)cc2)c(Cl)c1,0
C303,Nc1ccc(N2C(=O)c3ccccc3C2=O)c(Cl)c1,0
C304,COc1ccc(Cl)cc1NC(=O)Nc1cc(C)nc2ccccc12,0
C305,O=C1NC(=O)C(c2ccccc2[N+](=O)[O-])=C1Nc1ccc(O)c(Cl)c1,0
C306,CCn1cnc2c(Nc3cccc(Cl)c3)nc(NC3CCCCC3N)nc21,0
C307,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,0
C308,Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12,0
C309,CN1CCc2cc(Cl)c(O)cc2C(c2ccccc2)C1,0
C310,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,0
C311,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,0
C312,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,0
C313,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,0
C314,CCn1c(=O)[nH]c2cc(Cl)c(Cl)cc21,0
C315,CC(=O)NNC(=O)N1Cc2ccccc2Oc2ccc(Cl)cc21,0
C316,Cc1cc2c(cc1Cl)N(C(=O)Nc1cccc3ncccc13)CC2,0
C317,Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C,0
C318,NS(=O)(=O)c1cc2c(cc1Cl)NC(C1CC3C=CC1C3)NS2(=O)=O,0
C319,OCC1OC(c2nc3cc(Cl)c(Cl)cc3[nH]2)C(O)C1O,0
C320,O=C(O)c1cc(=O)c2ccc(Cl)cc2[nH]1,0
C321,O=c1[nH]c2cc(Cl)c(Cl)cc2[nH]c1=O,0
C322,O=c1[nH]c2cc(Cl)ccc2c(O)c1-c1cccc(Oc2ccccc2)c1,0
C323,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,0
C324,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,0
C325,O=c1[nH]c2cc(Cl)ccc2o1,0
C326,CC(Oc1ccc(Oc2cnc3ccc(Cl)cc3n2)cc1)C(=O)O,0
C327,NS(=O)(=O)c1cc2c(cc1Cl)NC=NS2(=O)=O,0
C328,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,0
C329,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,0
C330,CC1=NS(=O)(=O)c2cc(Cl)ccc2N1,0
C331,Cc1nc(N=Nc2cc([N+](=O)[O-])ccc2Cl)c(COP(=O)(O)O)c(C=O)c1O,0
C332,O=C(Nc1ccccc1)c1cc([N+](=O)[O-])ccc1Cl,0
C333,COc1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(Cl)cc2)cc1,0
C334,O=C(O)C=CC(O)c1ccc(Cl)cc1,0
C335,NCC(CC(=O)O)c1ccc(Cl)cc1,0
C336,NCC(CP(=O)(O)O)c1ccc(Cl)cc1,0
C337,CN1C(=O)CCS(=O)(=O)C1c1ccc(Cl)cc1,0
C338,COc1cccc(NC(=O)C=Cc2ccc(Cl)cc2)c1,0
C339,O=C(NC1CN2CCC1CC2)c1ccc(Cl)cc1,0
C340,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,0
C341,NCC(O)(CS(=O)(=O)O)c1ccc(Cl)cc1,0
C342,CN1CCCC1CCOC(C)(c1ccccc1)c1ccc(Cl)cc1,0
C343,NC(Cc1ccc(Cl)cc1)C(=O)O,0
C344,COC(=O)C(N)Cc1ccc(Cl)cc1,0
C345,OC1(c2ccc(Cl)cc2)CCN(Cc2c[nH]c3ccccc23)CC1,0
C346,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,0
C347,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,0
C348,CC(N)C(=O)OC(C)(C)Cc1ccc(Cl)cc1,0
C349,Oc1cc2c(cc1O)CN(C(=S)NCCc1ccc(Cl)cc1)CCC2,0
C350,CC(C)c1ccc2c(c1)c(SC(C)(C)C)c(CC(C)(C)C(=O)O)n2Cc1ccc(Cl)cc1,0
C351,COc1ccc2c(c1)c(CC(=O)O)c(C)n2Cc1ccc(Cl)cc1,0
C352,CN(C)CCOC(=O)COc1ccc(Cl)cc1,0
C353,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,0
C354,Nc1ncnc2c1nc(Sc1ccc(Cl)cc1)n2C1OC2COP(=O)(O)OC2C1O,0
C355,C=CCN(C1=NCCN1)c1c(Cl)cccc1Cl,0
C356,Fc1ccc(CN(C2=NCCN2)c2c(Cl)cccc2Cl)cc1,0
C357,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,0
C358,CCC(C)N(C)C(=O)c1cc2ccccc2c(-c2ccccc2Cl)n1,0
C359,Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1,0
C360,CC(C)(C)NCC(O)c1ccccc1Cl,0
C361,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,0
C362,CCN(c1nc(N)c(C(=O)N=C(N)N)nc1Cl)C(C)C,0
C363,CN(C)c1nc(N)c(C(=O)N=C(N)N)nc1Cl,0
C364,CC(C)CN(C)c1nc(N)c(C(=O)N=C(N)N)nc1Cl,0
C365,NC(N)=NC(=O)c1nc(Cl)c(N2CCCCCC2)nc1N,0
C366,Nc1nc(Cl)nc2c1ncn2C1OC(CO)C(O)C1O,0
C367,Nc1nc(Cl)nc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O,0
C368,Nc1c(S(=O)(=O)O)cc(Nc2ccc(Nc3nc(Cl)nc(Nc4cccc(S(=O)(=O)O)c4)n3)c(S(=O)(=O)O)c2)c2c1C(=O)c1ccccc1C2=O,0
C369,COc1nc(C)nc(Cl)c1NC1=NCCN1,0
C370,Clc1nccc2c1ccc1ccccc12,0
C371,Clc1ccc(N2CC3CCC(C2)N3)nn1,0
C372,O=C(NC(Cc1ccccc1)C(=O)CCl)OCc1ccccc1,0
C373,Cc1ccc(S(=O)(=O)NC(Cc2ccccc2)C(=O)CCl)cc1,0
C374,Cc1ccc(S(=O)(=O)NC(CCCCN)C(=O)CCl)cc1,0
C375,CC(COc1ccccc1)N(CCCl)Cc1ccccc1,0
C376,NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,0
C377,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,0
C378,CC(=O)OCCN(C)CCCl,0
C379,Cc1ncc(CNC(=O)N(CCCl)N=O)c(N)n1,0
C380,O=NN(CCCl)C(=O)NCCCl,0
C381,O=[N+]([O-])c1ccc(OC2OC(CO)C(O)C(O)C2F)c([N+](=O)[O-])c1,0
C382,FC(F)(F)c1cc(COC2CCCNC2c2ccccc2)cc(C(F)(F)F)c1,0
C383,CC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)OCc1cc(C(F)(F)F)cc(C(F)(F)F)c1,0
C384,CC1(C)NC(=O)N(c2ccc([N+](=O)[O-])c(C(F)(F)F)c2)C1=O,0
C385,O=c1[nH]c2cc(C(F)(F)F)ccc2n1-c1cc(C(F)(F)F)ccc1O,0
C386,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,0
C387,O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1,0
C388,CN1CCN(c2nc3cc(C(F)(F)F)ccc3n3cccc23)CC1,0
C389,COCCCCC(=NOCCN)c1ccc(C(F)(F)F)cc1,0
C390,Cc1nnc2cc(-c3ccc(C(F)(F)F)cc3)cnn12,0
C391,Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1,0
C392,CN(CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1)CC(=O)O,0
C393,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,0
C394,FC(F)(F)c1ccccc1-n1ccnc1,0
C395,COC(=O)C1=C(C)NC(C)=C([N+](=O)[O-])C1c1ccccc1C(F)(F)F,0
C396,Cn1cc(C(F)(F)F)nc1-c1ccc(OCC(O)CNCCOc2ccc(O)c(C(N)=O)c2)cc1,0
C397,O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,0
C398,COc1cc(-c2ccc(=O)[nH]n2)ccc1OC(F)F,0
C399,CC1OC(n2cc(F)c(=O)[nH]c2=O)C(O)C1O,0
C400,O=c1[nH]cc(F)c(=O)[nH]1,0
C401,CC12C=CC(=O)C=C1CCC1C3CC(O)C(O)(C(=O)CO)C3(C)CC(O)C12F,0
C402,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,0
C403,CCCN(CCC)C1CCc2c(F)ccc(O)c2C1,0
C404,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21,0
C405,CC(C)C1c2ccc(F)cc2CCC1(CCN(C)CCCc1nc2ccccc2[nH]1)OC(=O)C1CC1,0
C406,COc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cc(F)cc(-c3cccnc3)c1)CC2,0
C407,Fc1cccc(C=NN=Cc2cccc(F)c2)c1,0
C408,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,0
C409,COCC(=O)OC1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2C1C(C)C,0
C410,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,0
C411,O=C(O)c1cc2cc(F)ccc2[nH]1,0
C412,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,0
C413,CCCCCCN(CCCCCC)C(=O)Cc1c(-c2ccc(F)cc2)[nH]c2ccccc12,0
C414,O=[N+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,0
C415,Fc1ccc(C2CCNCC2COc2ccc3c(c2)OCO3)cc1,0
C416,Cc1nc2ccccn2c(=O)c1CCN1CCC(C(=O)c2ccc(F)cc2)CC1,0
C417,CC1(C)C(=O)N(CCN2CCC(C(=O)c3ccc(F)cc3)CC2)c2ccccc21,0
C418,O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,0
C419,COc1ccccc1N1CCN(CCN(C(=O)c2ccc(F)cc2)c2ccccn2)CC1,0
C420,O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,0
C421,O=C1NCN(c2ccccc2)C12CCN(CCCC(c1ccc(F)cc1)c1ccc(F)cc1)CC2,0
C422,CCCCN1C2CCC1CC(OC(c1ccc(F)cc1)c1ccc(F)cc1)C2,0
C423,NC(Cc1ccc(F)cc1)C(=O)O,0
C424,NC(=O)c1ccc(OCC(O)CN2CC=C(c3ccc(F)cc3)CC2)cc1,0
C425,Oc1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,0
C426,COc1ccc2c(c1)c(CC(=O)O)c(C)n2Cc1ccc(F)cc1,0
C427,CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)nc1N,0
C428,Nc1ncnc2n[nH]c(Nc3ccc(F)cc3)c12,0
C429,CC(C=Cc1cccc(Oc2ccc(F)cc2)c1)N(O)C(N)=O,0
C430,O=C(c1cc(O)c(O)c([N+](=O)[O-])c1)c1ccccc1F,0
C431,O=S(=O)(c1cccc2c(I)cccc12)N1CCCNCC1,0
C432,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,0
C433,COc1cc(C=C(C#N)C(=O)c2ccc(O)c(O)c2)cc(I)c1O,0
C434,NC(N)=NCc1cccc(I)c1,0
C435,CNC(=O)C1OC(n2cnc3c(NCc4cccc(I)c4)nc(Cl)nc32)C(O)C1O,0
C436,CNC(=O)C1OC(n2cnc3c(NCc4cccc(I)c4)ncnc32)C(O)C1O,0
C437,NC(Cc1ccc(O)c(I)c1)C(=O)O,0
C438,COc1cc(CC(C)N)c(OC)cc1I,0
C439,O=C1Nc2ccc(I)cc2C1=Cc1cc(Br)c(O)c(Br)c1,0
C440,CC(C)NC(C)Cc1ccc(I)cc1,0
C441,Ic1ccccc1CNC1C2CCN(CC2)C1C(c1ccccc1)c1ccccc1,0
C442,NC(=O)CI,0
C443,C#CCNC(C)Cc1ccccc1,0
C444,CCc1cccc(N(C)C(N)=Nc2cccc3ccccc23)c1,0
C445,CC(N)=NCc1cccc(CN)c1,0
C446,NC(N)=NC(N)=Nc1ccccc1,0
C447,CNC1(C)C2CCC(C2)C1(C)C,0
C448,C#CCN(C)Cc1ccccc1,0
C449,CN(C)CCC=C1c2ccccc2C=Cc2ccccc21,0
C450,CN(C)CCC=C1c2ccccc2CCc2ccccc21,0
C451,CNCCCCCNCCC1CC2CCCC(C2)C1,0
C452,CNCCCC1c2ccccc2C=Cc2ccccc21,0
C453,NC(N)=NCCCCN=C(N)N,0
C454,CN(C)CCCN1c2ccccc2CCc2ccccc21,0
C455,CNCCCN1c2ccccc2CCc2ccccc21,0
C456,NNCCc1ccccc1,0
C457,CCCN1CCCC(c2cccc(C#N)c2)C1,0
C458,CC12NC(Cc3ccccc31)c1ccccc12,0
C459,C1CCc2nnnn2CC1,0
C460,Cc1cccc(C=Cc2ccccc2)n1,0
C461,Cc1cccc(C#Cc2ccccc2)n1,0
C462,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,0
C463,CN(C)c1nc(N(C)C)nc(N(C)C)n1,0
C464,CCCN1CCCC2Cc3nc(N)ncc3CC21,0
C465,CC(C)Cn1cnc2c(N)nc3ccccc3c21,0
C466,c1ccc2nc(N3CCNCC3)ccc2c1,0
C467,Cc1ccc2c(c1)C(N1CCN(C)CC1)=Nc1cccnc1N2,0
C468,CN1CCCC1c1cccnc1,0
C469,CN(C)c1cc2c(Nc3ccc4c(cnn4Cc4ccccc4)c3)ncnc2cn1,0
C470,Nc1ccncc1,0
C471,CC(N=C(NC#N)Nc1ccncc1)C(C)(C)C,0
C472,c1ccc(-c2ccccn2)nc1,0
C473,CN(C)CCC(c1ccccc1)c1ccccn1,0
C474,Cc1ccc(C(=CCN2CCCC2)c2ccccn2)cc1,0
C475,Cn1ccnc1,0
C476,Cc1ccccc1C=CC1=NCCN1,0
C477,Cc1cc(C(C)(C)C)cc(C)c1CC1=NCCN1,0
C478,Nc1ncnc2c1ncn2C1CCCC1,0
C479,Cn1cnc2c(NC3CCCC3)ncnc21,0
C480,Nn1nnc2ccccc21,0
C481,N=C(N)N1CCc2ccccc2C1,0
