Compound,Life_extended,CAS Number,SMILES,Canonical_SMILES
Aloin,1,1415-73-2,C1=CC2=C(C(=C1)O)C(=O)C3=C([C@H]2[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)C=C(C=C3O)CO,O=C1c2c(O)cccc2[C@H]([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c2cc(CO)cc(O)c21
Alpha mangostin,1,6147/11/1,CC(=CCC1=C(C2=C(C=C1O)OC3=C(C2=O)C(=C(C(=C3)O)OC)CC=C(C)C)O)C,COc1c(O)cc2oc3cc(O)c(CC=C(C)C)c(O)c3c(=O)c2c1CC=C(C)C
Arecoline,1,63-75-2,CN1CCC=C(C1)C(=O)OC,COC(=O)C1=CCCN(C)C1
Aspirin,1,50-78-2,CC(=O)OC1=CC=CC=C1C(=O)O,CC(=O)Oc1ccccc1C(=O)O
Bakuchiol,1,10309-37-2,CC(=CCC[C@@](C)(C=C)/C=C/C1=CC=C(C=C1)O)C,C=C[C@@](C)(/C=C/c1ccc(O)cc1)CCC=C(C)C
Beta GPA,1,353-09-3,C(CN=C(N)N)C(=O)O,NC(N)=NCCC(=O)O
Bortezomib,1,179324-69-7,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
Cinnarizine,1,298-57-7,C1CN(CCN1C/C=C/C2=CC=CC=C2)C(C3=CC=CC=C3)C4=CC=CC=C4,C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1
Curcumin,1,458-37-7,COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O
Dapagliflozin,1,461432-26-8,CCOC1=CC=C(C=C1)CC2=C(C=CC(=C2)[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)Cl,CCOc1ccc(Cc2cc([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1
