Compound,Life_extended,CAS Number,SMILES,Canonical_SMILES
,0,,CCN1C(=O)C(NC1=O)C2=CC=CC=C2,CCN1C(=O)NC(c2ccccc2)C1=O
,0,,CN1C=NC2=C1C(=O)NC(=O)N2C,Cn1cnc2c1c(=O)[nH]c(=O)n2C
,0,,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12
,0,,CC(C)(C)[C@]1(CCN2C[C@@H]3C4=CC=CC=C4CCC5=C3C(=CC=C5)[C@H]2C1)O.Cl,CC(C)(C)[C@@]1(O)CCN2C[C@@H]3c4ccccc4CCc4cccc(c43)[C@H]2C1.Cl
,0,,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)O,Cc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O
,0,,C1=CNC(=O)NC1=O,O=c1cc[nH]c(=O)[nH]1
,1,,C1=CC(=C(C=C1[N+](=O)[O-])Cl)NC(=O)C2=C(C=CC(=C2)Cl)O,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O
,1,,CCCCCCC[N+](CC)(CC)CCCCC1=CC=C(C=C1)Cl.CC1=CC=C(C=C1)S(=O)(=O)[O-],CCCCCCC[N+](CC)(CC)CCCCc1ccc(Cl)cc1.Cc1ccc(S(=O)(=O)[O-])cc1
,1,,C1=CC=C2C(=C1)C(=O)C(=C(O2)C3=CC=C(C=C3)O)O,O=c1c(O)c(-c2ccc(O)cc2)oc2ccccc12
,1,,CC1=C2COC(=O)C2=C(C(=C1OC)C/C=C(\C)/CCC(=O)O)O,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)O)C(=O)OC2
,1,,CC12CC3CC(C1)(CC(C3)(C2)N)C.Cl,CC12CC3CC(C)(C1)CC(N)(C3)C2.Cl
,1,,C1=CC=C(C=C1)C2=CC(=O)C3=CC(=C(C=C3O2)O)O,O=c1cc(-c2ccccc2)oc2cc(O)c(O)cc12
,1,,C1=CC=C2C(=C1)C=C(N2CC(=O)O)C(=O)NC3=NC(=CS3)C4=CC=CC=C4Cl.O,O.O=C(O)Cn1c(C(=O)Nc2nc(-c3ccccc3Cl)cs2)cc2ccccc21
,1,,COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12
,1,,C1=CC=C(C=C1)P2(=S)NC3=CC=CC=C3O2,S=P1(c2ccccc2)Nc2ccccc2O1
,1,,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=CC(=C3)O,O=c1cc(-c2ccccc2)oc2ccc(O)cc12
,1,,COCCNC(=O)COC1=CC=C(C=C1)OCCNC[C@@H](COC2=CC=CC=C2)O.Cl,COCCNC(=O)COc1ccc(OCCNC[C@H](O)COc2ccccc2)cc1.Cl
,1,,CCCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C.Cl,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C.Cl
,1,,C1CN(CCN1C/C=C/C2=CC=CC=C2)C(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F.Cl.Cl,Cl.Cl.Fc1ccc(C(c2ccc(F)cc2)N2CCN(C/C=C/c3ccccc3)CC2)cc1
,1,,CCN1C=C(C(=O)C2=CC(=C(C(=C21)F)N3CCNC(C3)C)F)C(=O)O.Cl,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21.Cl
,1,,CC[N+](CC)(CC)CC.[Cl-],CC[N+](CC)(CC)CC.[Cl-]
,1,,C[C@]12CC[C@@]34C[C@@]35CC[C@@H](C([C@@H]5[C@H](C[C@H]4[C@@]1(C[C@@H]([C@@H]2[C@]6(CC[C@H](O6)C(C)(C)O)C)O)C)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)(C)C)O[C@H]8[C@@H]([C@H]([C@@H](CO8)O)O)O,CC(C)(O)[C@@H]1CC[C@](C)([C@H]2[C@@H](O)C[C@@]3(C)[C@@H]4C[C@H](O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)[C@H]5C(C)(C)[C@@H](O[C@@H]6OC[C@@H](O)[C@H](O)[C@H]6O)CC[C@@]56C[C@@]46CC[C@]23C)O1
,1,,CCOC(=O)N1CCN(CC1)/[N+](=N/OC2=C(C=C(C=C2)[N+](=O)[O-])[N+](=O)[O-])/[O-],CCOC(=O)N1CCN(/[N+]([O-])=N/Oc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])CC1
,1,,C[C@H]1C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C\C=C(\C(=O)NC2=CC(=O)C(=C(C1)C2=O)OC)/C)OC)OC(=O)N)\C)C)O)OC,COC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O
,1,,C1COCCN1[N+]2=CC(=N)O[N-]2.Cl,Cl.N=c1c[n+](N2CCOCC2)[n-]o1
,1,,CC(=O)O[C@@H]1C[C@@H]2[C@](C=CC(=O)C2(C)C)([C@@H]3[C@@]1([C@]45[C@H](O4)C(=O)O[C@H]([C@@]5(CC3)C)C6=COC=C6)C)C,CC(=O)O[C@@H]1C[C@H]2C(C)(C)C(=O)C=C[C@]2(C)[C@H]2CC[C@@]3(C)[C@H](c4ccoc4)OC(=O)[C@H]4O[C@]43[C@@]21C
,1,,CN1C2=C(C(=O)NC1=O)NC=N2,Cn1c(=O)[nH]c(=O)c2[nH]cnc21
,1,,C([C@@H]1[C@H]([C@H]([C@H](C(O1)O)N)O)O)O,N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@H]1O
,1,,CCCCCCCCCC[C@H]1[C@@H](OC1=O)CCCCS(=O)(=O)CCCN(C)C,CCCCCCCCCC[C@@H]1C(=O)O[C@H]1CCCCS(=O)(=O)CCCN(C)C
,1,,C[C@@]12CCN([C@@H]1N(C3=C2C=C(C=C3)OC(=O)NC)C)C.C[C@@]12CCN([C@@H]1N(C3=C2C=C(C=C3)OC(=O)NC)C)C.OS(=O)(=O)O,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C.CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C.O=S(=O)(O)O
,1,,CCCCCN(CCCCC)C(=O)C(CCC(=O)[O-])NC(=O)C1=CC(=C(C=C1)Cl)Cl.[Na+],CCCCCN(CCCCC)C(=O)C(CCC(=O)[O-])NC(=O)c1ccc(Cl)c(Cl)c1.[Na+]
,1,,COC1=CC=CC(=C1O)O,COc1cccc(O)c1O
,1,,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1
,1,,C1[C@H](ON=C1Cl)[C@@H](C(=O)O)N,N[C@H](C(=O)O)[C@@H]1CC(Cl)=NO1
,1,,CC\1=C(C2=C(/C1=C\C3=CC=C(C=C3)SC)C=CC(=C2)F)CC(=O)O,CSc1ccc(/C=C2/C(C)=C(CC(=O)O)c3cc(F)ccc32)cc1
,1,,CN(C)C(=O)/N=N/C(=O)N(C)C,CN(C)C(=O)/N=N/C(=O)N(C)C
,1,,CCC(C)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OC[C@H]5CO[C@](O5)(CN6C=NC=N6)C7=C(C=C(C=C7)Cl)Cl,CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@H]5CO[C@](Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O
,1,,C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12
,1,,C1=CC=C(C=C1)C2=CN3C(=N2)SC(=N3)S(=O)(=O)N,NS(=O)(=O)c1nn2cc(-c3ccccc3)nc2s1
,1,,COC1=CC=C(C=C1)N2CCN(CC2)C(=O)ON3C(=O)C4CN(CCN4C3=O)CC5CCN(CC5)CC6=CC=CC=C6,COc1ccc(N2CCN(C(=O)ON3C(=O)C4CN(CC5CCN(Cc6ccccc6)CC5)CCN4C3=O)CC2)cc1
,1,,C1CCC(CC1)NC(=O)OC2=CC=CC(=C2)C3=CC(=CC=C3)C(=O)N,NC(=O)c1cccc(-c2cccc(OC(=O)NC3CCCCC3)c2)c1
,1,,C([C@H](C([C@H](CO)O)O)O)O,OC[C@@H](O)C(O)[C@@H](O)CO
,1,,COC1=CC(=CC(=C1OC)OC)[C@H]2[C@@H]3[C@H](COC3=O)[C@H](C4=CC5=C(C=C24)OCO5)O,COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC
,1,,CN1C(=C(C2=CC=CC=C2S1(=O)=O)O)C(=O)NC3=CC=CC=N3,CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O
,1,,CC1=C(C(=O)N2C=CC=CC2=N1)CCN3CCC(CC3)C(=O)C4=CC=C(C=C4)F,Cc1nc2ccccn2c(=O)c1CCN1CCC(C(=O)c2ccc(F)cc2)CC1
,1,,CCCCN1CCCC1CNC(=O)C2=C(C3=CC=CC=C3C(=C2)C#N)OC,CCCCN1CCCC1CNC(=O)c1cc(C#N)c2ccccc2c1OC
,1,,C([C@H]([C@@H](CS)O)O)S,O[C@H](CS)[C@H](O)CS
,1,,CC1=CC=C(O1)/C=N/NC(=O)C2=CC=CC=C2OC3=CC=CC=C3,Cc1ccc(/C=N/NC(=O)c2ccccc2Oc2ccccc2)o1
,1,,CCC(C)(C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
,1,,CN(C)CCCN1C2=CC=CC=C2SC3=CC=CC=C31.Cl,CN(C)CCCN1c2ccccc2Sc2ccccc21.Cl
,1,,COC1=CC=C(C=C1)CC(=O)C2=C(C=C(C=C2)O)O,COc1ccc(CC(=O)c2ccc(O)cc2O)cc1
,1,,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C(=C3O)O)O,O=c1cc(-c2ccccc2)oc2cc(O)c(O)c(O)c12
,1,,CC(=CCO)C,CC(C)=CCO
,1,,C1[C@H]2[C@H](CO[C@@H]2OC3=CC4=C(C=C3)OCO4)[C@H](O1)C5=CC6=C(C=C5)OCO6,c1cc2c(cc1O[C@H]1OC[C@H]3[C@@H]1CO[C@@H]3c1ccc3c(c1)OCO3)OCO2
,1,,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4COC5=CC=CC=C5O4)N)OC.CS(=O)(=O)O,COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC.CS(=O)(=O)O
,1,,CN(C1CCCCC1)C(=O)N2C=C(N=C2)C3=C[N+](=CC=C3)[O-],CN(C(=O)n1cnc(-c2ccc[n+]([O-])c2)c1)C1CCCCC1
,1,,C1(C(C(C(C(C1OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O,O=P(O)(O)OC1C(OP(=O)(O)O)C(OP(=O)(O)O)C(OP(=O)(O)O)C(OP(=O)(O)O)C1OP(=O)(O)O
,1,,C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@@H](O)C2
,1,,CC[C@H](C)[C@H]1C(=O)N[C@H](C(=O)NC(=C)C(=O)N[C@H](C(=O)N[C@]23CCC(=N[C@@H]2C4=CSC(=N4)[C@H]([C@H](OC(=O)C5=NC6=C(C=C[C@H]([C@@H]6O)N1)C(=C5)[C@H](C)O)C)NC(=O)C7=CSC(=N7)[C@@H](NC(=O)[C@H]8CSC(=N8)/C(=C/C)/NC(=O)[C@@H](NC(=O)C9=CSC3=N9)[C@@H](C)O)[C@@](C)([C@@H](C)O)O)C1=NC(=CS1)C(=O)NC(=C)C(=O)NC(=C)C(=O)N)C)C,C=C(NC(=O)C(=C)NC(=O)c1csc(C2=N[C@@H]3c4csc(n4)[C@H]4NC(=O)c5csc(n5)[C@H]([C@](C)(O)[C@@H](C)O)NC(=O)[C@H]5CSC(=N5)/C(=C/C)NC(=O)[C@H]([C@@H](C)O)NC(=O)c5csc(n5)[C@]3(CC2)NC(=O)[C@H](C)NC(=O)C(=C)NC(=O)[C@H](C)NC(=O)[C@H]([C@@H](C)CC)N[C@@H]2C=Cc3c([C@H](C)O)cc(nc3[C@H]2O)C(=O)O[C@@H]4C)n1)C(N)=O
,1,,CCCCN(CC)C1=NC(=NC2=C1C(=C(N2C3=C(C=C(C=C3C)C)C)C)C)C,CCCCN(CC)c1nc(C)nc2c1c(C)c(C)n2-c1c(C)cc(C)cc1C
,1,,C1(C(C(C(C(C1O)O)O)O)O)O,OC1C(O)C(O)C(O)C(O)C1O
,1,,CC(COC1=CC=CC=C1)N(CCCl)CC2=CC=CC=C2.Cl,CC(COc1ccccc1)N(CCCl)Cc1ccccc1.Cl
,1,,C[C@@]12CCN([C@@H]1N(C3=C2C=C(C=C3)OC(=O)NC)C)C,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C
,1,,COC1=C(C=CC(=C1)/C=C/C(=O)O)O,COc1cc(/C=C/C(=O)O)ccc1O
,1,,C1=CC(=C(C(=C1)Cl)Cl)C2=C(N=C(N=N2)N)N,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1
,1,,CC1=C(N(C(=C1)CC(=O)[O-])C)C(=O)C2=CC=C(C=C2)Cl.[Na+],Cc1cc(CC(=O)[O-])n(C)c1C(=O)c1ccc(Cl)cc1.[Na+]
,1,,CCN1CCC[C@H]1CNC(=O)C2=C(C=CC(=C2)S(=O)(=O)N)OC,CCN1CCC[C@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC
,1,,CN(CCC1=CC=C(C=C1)NS(=O)(=O)C)CCOC2=CC=C(C=C2)NS(=O)(=O)C,CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1
,1,,CCCCNC1=CC=C(C=C1)C(=O)OCCN(C)C.Cl,CCCCNc1ccc(C(=O)OCCN(C)C)cc1.Cl
,1,,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C=C3)O)O,O=c1cc(-c2ccccc2)oc2c(O)c(O)ccc12
,1,,C1CCN(C(C1)CC2=CC=CC=C2)C(=O)N3C=C(N=N3)C4=CC=C(C=C4)C5=CC(=CC=C5)C(=O)O,O=C(O)c1cccc(-c2ccc(-c3cn(C(=O)N4CCCCC4Cc4ccccc4)nn3)cc2)c1
,1,,CN(C)[C@H]1[C@@H]2C[C@@H]3CC4=C(C=CC(=C4C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O)N(C)C,CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(=O)C(C(N)=O)=C(O)[C@@]3(O)C(=O)C1=C2O
,1,,CN1C(=O)C2=C(NC1=O)N=CN2,Cn1c(=O)[nH]c2nc[nH]c2c1=O
,1,,C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CN)O)O)O)O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)N)O)N.OS(=O)(=O)O,NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H](N)C[C@@H]2N)[C@H](O)[C@@H](O)[C@@H]1O.O=S(=O)(O)O
,1,,C(CCN=C(N)N)CN,NCCCCN=C(N)N
,1,,CC(C)C1=CC2=C(C=C1)OC3=NC(=C(C=C3C2=O)C(=O)O)N,CC(C)c1ccc2oc3nc(N)c(C(=O)O)cc3c(=O)c2c1
,1,,CC1=C(N=C(C(=N1)C)C)C,Cc1nc(C)c(C)nc1C
,1,,CC1=CNC(=O)NC1=O,Cc1c[nH]c(=O)[nH]c1=O
,1,,CCCCCC1=CC(=C(C(=C1)O)[C@@H]2C=C(CC[C@H]2C(=C)C)C)O,C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CCCCC)cc1O
,1,,C([C@@H](C(=O)O)N)[Se],N[C@@H](C[Se])C(=O)O
,1,,CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Cl-],CCCCCCCCCCCCCCCC[n+]1ccccc1.[Cl-]
,1,,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](C(=O)O)N)OC(=O)CCCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@H](N)C(=O)O)OC(=O)CCCCCCCCCCCCCCCCC
,1,,C1CCN(CC1)CC2=CC(=CC=C2)OCCCNC3=NC4=CC=CC=C4S3.C(=C\C(=O)O)\C(=O)O.C(=C\C(=O)O)\C(=O)O,O=C(O)/C=C\C(=O)O.O=C(O)/C=C\C(=O)O.c1cc(CN2CCCCC2)cc(OCCCNc2nc3ccccc3s2)c1
,1,,CCCCCCCC(=O)O[C@H]1[C@H]2C(=C([C@@H]1OC(=O)/C(=C\C)/C)C)[C@H]3[C@]([C@H](C[C@]2(C)OC(=O)C)OC(=O)CCC)([C@](C(=O)O3)(C)O)O,C/C=C(/C)C(=O)O[C@H]1C(C)=C2[C@H]([C@@H]1OC(=O)CCCCCCC)[C@@](C)(OC(C)=O)C[C@H](OC(=O)CCC)[C@@]1(O)[C@H]2OC(=O)[C@@]1(C)O
,1,,C1/C(=C\C2=CC(=C(C=C2)O)O)/C(=O)C3=C(O1)C=C(C=C3)O,O=C1/C(=C/c2ccc(O)c(O)c2)COc2cc(O)ccc21
,1,,C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O,O=C(CCc1ccc(O)cc1)c1c(O)cc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1O
,1,,CC(=C)CCO,C=C(C)CCO
,1,,C(C(=O)O)N,NCC(=O)O
,1,,C1=CC(=C(C=C1/C=C/C(=O)O)O)O,O=C(O)/C=C/c1ccc(O)c(O)c1
,1,,CN1C=NC2=C1C(=O)NC(=O)N2,Cn1cnc2[nH]c(=O)[nH]c(=O)c21
,1,,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC)OC,COc1ccc(-c2cc(=O)c3c(OC)c(OC)c(OC)c(OC)c3o2)cc1OC
,1,,C1OC2=C(O1)C=C(C=C2)O,Oc1ccc2c(c1)OCO2
,1,,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.Cl,CN(C)[C@@H]1C(=O)C(C(N)=O)=C(O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12.Cl
,1,,CC1=C(C(C[C@@H](C1=O)O)(C)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(/C=C/C2=C(C(=O)[C@H](CC2(C)C)O)C)\C)\C)/C)/C,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)C(=O)[C@@H](O)CC2(C)C)C(C)(C)C[C@H](O)C1=O
,1,,C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1
,1,,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,C[N+](C)(C)C[C@H](O)CC(=O)[O-]
,1,,C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1NC(=O)[C@H](CCN)O)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)N)O)O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CN)O)O)O)N.O,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O.O
,1,,C1=CC=C(C=C1)C2=CC=C(C=C2)CC(=O)O,O=C(O)Cc1ccc(-c2ccccc2)cc1
,1,,C1C(=O)NC2=C(C=C(C=C2)Cl)C(S1)C3=CC=CC=C3Cl,O=C1CSC(c2ccccc2Cl)c2cc(Cl)ccc2N1
,1,,C1C2=C(C3=CC=CC=C3NC1=O)NC4=C2C=C(C=C4)[N+](=O)[O-],O=C1Cc2c([nH]c3ccc([N+](=O)[O-])cc23)-c2ccccc2N1
,1,,[Hf],[Hf]
,1,,CC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)C,CC(=O)OC[C@H](COP(=O)(O)OCCN)OC(C)=O
,1,,CC(=O)O[C@@H]1C[C@]2([C@@H](CCC2=O)C3=C1[C@]4([C@H](OC(=O)C5=COC(=C54)C3=O)COC)C)C,COC[C@H]1OC(=O)c2coc3c2[C@@]1(C)C1=C(C3=O)[C@@H]2CCC(=O)[C@@]2(C)C[C@H]1OC(C)=O
,1,,CC[C@H](C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
,1,,COC1=CC=CC=C1C2=CC=C(C=C2)C3=CN(N=N3)C(=O)N4CCCCC4CC5=CC=CC=C5,COc1ccccc1-c1ccc(-c2cn(C(=O)N3CCCCC3Cc3ccccc3)nn2)cc1
,1,,CCCC(CCC)C(=O)O,CCCC(CCC)C(=O)O
,1,,COC1=C(C=CC(=C1)C[C@@H](CO[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)[C@@H](CC3=CC(=C(C=C3)O)OC)CO[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,COc1cc(C[C@@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)Cc2ccc(O)c(OC)c2)ccc1O
,1,,C12=C(NC(=O)N1)NC(=O)NC2=O,O=c1[nH]c(=O)c2[nH]c(=O)[nH]c2[nH]1
,1,,C1CCC2=C(CC1)C(=O)OC3=C2C=CC(=C3)OS(=O)(=O)N,NS(=O)(=O)Oc1ccc2c3c(c(=O)oc2c1)CCCCC3
,1,,C1=CC(=C(C=C1OC2=C(C=C(C=C2I)C[C@@H](C(=O)O)N)I)I)O,N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O
,1,,CN1C=NC2=C1C(=O)N(C(=O)N2)C,Cn1c(=O)[nH]c2ncn(C)c2c1=O
,1,,C1=C(NC(=O)NC1=O)C(=O)[O-],O=C([O-])c1cc(=O)[nH]c(=O)[nH]1
,1,,C1=CC(=C(C=C1/C=C/C(=O)O[C@@H](C(=O)O)[C@@H](OC(=O)/C=C/C2=CC(=C(C=C2)O)O)C(=O)O)O)O,O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H](C(=O)O)[C@@H](OC(=O)/C=C/c1ccc(O)c(O)c1)C(=O)O
,1,,CC(C)C1=C(C(=C2C(=C1)CC[C@@H]3[C@@]2(CCCC3(C)C)C(=O)O)O)O,CC(C)c1cc2c(c(O)c1O)[C@@]1(C(=O)O)CCCC(C)(C)[C@@H]1CC2
,1,,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Cn1c(=O)c2c(ncn2C)n(C)c1=O
,1,,CN1C2=C(C(=O)N(C1=O)C)NC=N2,Cn1c(=O)c2[nH]cnc2n(C)c1=O
,1,,C1[C@H]2[C@H](CO[C@@H]2C3=CC4=C(C=C3)OCO4)[C@H](O1)C5=CC6=C(C=C5)OCO6,c1cc2c(cc1[C@H]1OC[C@H]3[C@@H]1CO[C@@H]3c1ccc3c(c1)OCO3)OCO2
,1,,C[C@@]12CCC[C@@]([C@H]1CC[C@]34[C@H]2CC[C@](C3)(C(=C)C4)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)(C)C(=O)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O,C=C1C[C@@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@@H]2CC[C@]1(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C3
,1,,CCCCCCCCCCCCCC1/C(=C/CCCCC(=O)N)/C(=O)O1,CCCCCCCCCCCCCC1OC(=O)/C1=C\CCCCC(N)=O
,1,,C(CS(=O)O)N,NCCS(=O)O
,1,,CCCCCCCC(=O)C1=CC(=C(C=C1)O)C(=O)O,CCCCCCCC(=O)c1ccc(O)c(C(=O)O)c1
,1,,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)CS(=O)(=O)O,Cc1c(N(C)CS(=O)(=O)O)c(=O)n(-c2ccccc2)n1C
,1,,CCCCC(=O)O[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=C3C=CC(=C4)O)C,CCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@]12C
,1,,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC
,1,,CC(C)(C)C1=CC(=C(C=C1O)C(C)(C)C)O,CC(C)(C)c1cc(O)c(C(C)(C)C)cc1O
,1,,CC(C)C1=C(C(=C2C(=C1)[C@@H]3C[C@@H]4[C@@]2(CCCC4(C)C)C(=O)O3)O)O,CC(C)c1cc2c(c(O)c1O)[C@@]13CCCC(C)(C)[C@@H]1C[C@@H]2OC3=O
,1,,C1=CC=C2C(=C1)C=NN=C2NN,NNc1nncc2ccccc12
,1,,CC1NC2=CC(=C(C=C2C(=O)N1C3=CC=CC=C3C)S(=O)(=O)N)Cl,Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C
