Compound,Life_extended,CAS Number,SMILES
,0,,CCN1C(=O)C(NC1=O)C2=CC=CC=C2
,0,,CN1C=NC2=C1C(=O)NC(=O)N2C
,0,,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O
,0,,CC(C)(C)[C@]1(CCN2C[C@@H]3C4=CC=CC=C4CCC5=C3C(=CC=C5)[C@H]2C1)O.Cl
,0,,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)O
,0,,C1=CNC(=O)NC1=O
,1,,C1=CC(=C(C=C1[N+](=O)[O-])Cl)NC(=O)C2=C(C=CC(=C2)Cl)O
,1,,CCCCCCC[N+](CC)(CC)CCCCC1=CC=C(C=C1)Cl.CC1=CC=C(C=C1)S(=O)(=O)[O-]
,1,,C1=CC=C2C(=C1)C(=O)C(=C(O2)C3=CC=C(C=C3)O)O
,1,,CC1=C2COC(=O)C2=C(C(=C1OC)C/C=C(\C)/CCC(=O)O)O
,1,,CC12CC3CC(C1)(CC(C3)(C2)N)C.Cl
,1,,C1=CC=C(C=C1)C2=CC(=O)C3=CC(=C(C=C3O2)O)O
,1,,C1=CC=C2C(=C1)C=C(N2CC(=O)O)C(=O)NC3=NC(=CS3)C4=CC=CC=C4Cl.O
,1,,COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O
,1,,C1=CC=C(C=C1)P2(=S)NC3=CC=CC=C3O2
,1,,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=CC(=C3)O
,1,,COCCNC(=O)COC1=CC=C(C=C1)OCCNC[C@@H](COC2=CC=CC=C2)O.Cl
,1,,CCCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C.Cl
,1,,C1CN(CCN1C/C=C/C2=CC=CC=C2)C(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F.Cl.Cl
,1,,CCN1C=C(C(=O)C2=CC(=C(C(=C21)F)N3CCNC(C3)C)F)C(=O)O.Cl
,1,,CC[N+](CC)(CC)CC.[Cl-]
